GID	GENENAME
69948	ostta10g02570
69949	ostta10g02580
69950	ostta10g02590
69951	ostta10g02600
69952	ostta10g02610
69953	ostta10g02620
69954	ostta10g02630
69955	ostta10g02640
69956	ostta10g02650
69957	ostta10g02660
69958	ostta10g02670
69959	ostta10g02680
69960	ostta10g02690
69961	ostta10g02700
69962	ostta10g02710
69963	ostta10g02720
69964	ostta10g02730
69965	ostta10g02740
69966	ostta10g02750
69967	ostta10g02760
69968	ostta10g02770
69969	ostta10g02780
69970	ostta10g02790
69971	ostta10g02800
69972	ostta10g02810
69973	ostta10g02820
69974	ostta10g02830
69975	ostta10g02840
69976	ostta10g02850
69977	ostta10g02860
69978	ostta10g02870
69979	ostta10g02880
69980	ostta10g02890
69981	ostta10g02900
69982	ostta10g02910
69983	ostta10g02920
69984	ostta10g02930
69985	ostta10g02940
69986	ostta10g02950
69987	ostta10g02960
69988	ostta10g02970
69989	ostta10g02980
69990	ostta10g02990
69991	ostta10g03000
69992	ostta10g03010
69993	ostta10g03020
69994	ostta10g03030
69995	ostta10g03040
69996	ostta10g03050
69997	ostta10g03060
69998	ostta10g03070
69999	ostta10g03080
70000	ostta10g03090
70001	ostta10g03100
70002	ostta10g03110
70003	ostta10g03120
70004	ostta10g03130
70005	ostta10g03135
70006	ostta10g03140
70007	ostta10g03150
70008	ostta10g03160
70009	ostta10g03170
70010	ostta10g03180
70011	ostta10g03185
70012	ostta10g03190
70013	ostta10g03200
70014	ostta10g03220
70015	ostta10g03230
70016	ostta10g03240
70017	ostta10g03250
70018	ostta10g03260
70019	ostta10g03270
70020	ostta10g03280
70021	ostta10g03290
70022	ostta10g03300
70023	ostta10g03310
70024	ostta10g03320
70025	ostta10g03330
70026	ostta10g03340
70027	ostta10g03350
70028	ostta10g03360
70029	ostta10g03365
70030	ostta10g03370
70031	ostta10g03380
70032	ostta10g03390
70033	ostta10g03400
70034	ostta10g03410
70035	ostta10g03420
70036	ostta10g03430
70037	ostta10g03435
70038	ostta10g03440
70039	ostta10g03450
70040	ostta10g03460
70041	ostta10g03470
70042	ostta10g03480
70043	ostta10g03490
70044	ostta10g03500
70045	ostta10g03510
70046	ostta10g03520
70047	ostta10g03530
70048	ostta10g03540
70049	ostta10g03550
70050	ostta10g03560
70051	ostta10g03570
70052	ostta11g00010
70053	ostta11g00020
70054	ostta11g00030
70055	ostta11g00040
70056	ostta11g00050
70057	ostta11g00060
70058	ostta11g00070
70059	ostta11g00080
70060	ostta11g00090
70061	ostta11g00100
70062	ostta11g00110
70063	ostta11g00120
70064	ostta11g00130
70065	ostta11g00140
70066	ostta11g00150
70067	ostta11g00160
70068	ostta11g00170
70069	ostta11g00180
70070	ostta11g00190
70071	ostta11g00200
70072	ostta11g00210
70073	ostta11g00220
70074	ostta11g00230
70075	ostta11g00240
70076	ostta11g00250
70077	ostta11g00260
70078	ostta11g00270
70079	ostta11g00280
70080	ostta11g00290
70081	ostta11g00300
70082	ostta11g00310
70083	ostta11g00320
70084	ostta11g00330
70085	ostta11g00340
70086	ostta11g00350
70087	ostta11g00360
70088	ostta11g00370
70089	ostta11g00380
70090	ostta11g00390
70091	ostta11g00400
70092	ostta11g00410
70093	ostta11g00420
70094	ostta11g00430
70095	ostta11g00440
70096	ostta11g00450
70097	ostta11g00460
70098	ostta11g00470
70099	ostta11g00480
70100	ostta11g00490
70101	ostta11g00500
70102	ostta11g00510
70103	ostta11g00520
70104	ostta11g00530
70105	ostta11g00540
70106	ostta11g00550
70107	ostta11g00560
70108	ostta11g00570
70109	ostta11g00580
70110	ostta11g00590
70111	ostta11g00600
70112	ostta11g00605
70113	ostta11g00610
70114	ostta11g00620
70115	ostta11g00630
70116	ostta11g00640
70117	ostta11g00650
70118	ostta11g00660
70119	ostta11g00670
70120	ostta11g00680
70121	ostta11g00690
70122	ostta11g00700
70123	ostta11g00710
70124	ostta11g00720
70125	ostta11g00730
70126	ostta11g00740
70127	ostta11g00750
70128	ostta11g00760
70129	ostta11g00770
70130	ostta11g00780
70131	ostta11g00790
70132	ostta11g00800
70133	ostta11g00810
70134	ostta11g00820
70135	ostta11g00830
70136	ostta11g00840
70137	ostta11g00850
70138	ostta11g00860
70139	ostta11g00870
70140	ostta11g00880
70141	ostta11g00890
70142	ostta11g00900
70143	ostta11g00910
70144	ostta11g00920
70145	ostta11g00930
70146	ostta11g00940
70147	ostta11g00950
70148	ostta11g00960
70149	ostta11g00970
70150	ostta11g00980
70151	ostta11g00985
70152	ostta11g00990
70153	ostta11g01000
70154	ostta11g01010
70155	ostta11g01020
70156	ostta11g01030
70157	ostta11g01040
70158	ostta11g01045
70159	ostta11g01050
70160	ostta11g01060
70161	ostta11g01070
70162	ostta11g01080
70163	ostta11g01090
70164	ostta11g01100
70165	ostta11g01110
70166	ostta11g01120
