TID	TRANSNAME
70083	ostta10g03500T0
70084	ostta10g03510T0
70085	ostta10g03520T0
70086	ostta10g03530T0
70087	ostta10g03540T0
70088	ostta10g03550T0
70089	ostta10g03560T0
70090	ostta10g03570T0
70091	ostta11g00010T0
70092	ostta11g00020T0
70093	ostta11g00030T0
70094	ostta11g00040T0
70095	ostta11g00050T0
70096	ostta11g00060T0
70097	ostta11g00070T0
70098	ostta11g00080T0
70099	ostta11g00090T0
70100	ostta11g00100T0
70101	ostta11g00110T0
70102	ostta11g00120T0
70103	ostta11g00130T0
70104	ostta11g00140T0
70105	ostta11g00150T0
70106	ostta11g00160T0
70107	ostta11g00170T0
70108	ostta11g00180T0
70109	ostta11g00190T0
70110	ostta11g00200T0
70111	ostta11g00210T0
70112	ostta11g00220T0
70113	ostta11g00230T0
70114	ostta11g00240T0
70115	ostta11g00250T0
70116	ostta11g00260T0
70117	ostta11g00270T0
70118	ostta11g00280T0
70119	ostta11g00290T0
70120	ostta11g00300T0
70121	ostta11g00310T0
70122	ostta11g00320T0
70123	ostta11g00330T0
70124	ostta11g00340T0
70125	ostta11g00350T0
70126	ostta11g00360T0
70127	ostta11g00370T0
70128	ostta11g00380T0
70129	ostta11g00390T0
70130	ostta11g00400T0
70131	ostta11g00410T0
